"","estimates","methods","scene","par"
"138",-2.81496980797401,"pdWOLS","1","psi0"
"139",-0.173010297842431,"pdWOLS","1","psi0"
"140",-3.02062982795324,"pdWOLS","1","psi0"
"141",-4.49172541345455,"pdWOLS","1","psi0"
"142",-0.239178840515968,"pdWOLS","1","psi0"
"143",-3.93038485594864,"pdWOLS","1","psi0"
"144",-5.38075115047002,"pdWOLS","1","psi0"
"145",-4.47748861369623,"pdWOLS","1","psi0"
"146",-3.883147642492,"pdWOLS","1","psi0"
"147",-4.28778488398467,"pdWOLS","1","psi0"
"148",-3.94299925413887,"pdWOLS","1","psi0"
"149",-4.23458942688858,"pdWOLS","1","psi0"
"150",-4.48634138260746,"pdWOLS","1","psi0"
"151",-0.0270753783810071,"pdWOLS","1","psi0"
"152",-0.51507702834023,"pdWOLS","1","psi0"
"153",-0.0882884936273137,"pdWOLS","1","psi0"
"154",-4.61920095602429,"pdWOLS","1","psi0"
"155",-0.0238885609720586,"pdWOLS","1","psi0"
"156",-0.112347165350722,"pdWOLS","1","psi0"
"157",-4.1091203600682,"pdWOLS","1","psi0"
"158",-0.154540494147669,"pdWOLS","1","psi0"
"159",-0.0962651307359696,"pdWOLS","1","psi0"
"160",-0.386273599096199,"pdWOLS","1","psi0"
"161",-3.37632460429761,"pdWOLS","1","psi0"
"162",-4.10858216674016,"pdWOLS","1","psi0"
"163",-3.26545363224794,"pdWOLS","1","psi0"
"164",1.48921674143106,"pdWOLS","1","psi0"
"165",-4.26487774092245,"pdWOLS","1","psi0"
"166",-0.135623933002839,"pdWOLS","1","psi0"
"167",-0.127030329321561,"pdWOLS","1","psi0"
"168",-2.99369484417905,"pdWOLS","1","psi0"
"169",-0.088021369302463,"pdWOLS","1","psi0"
"170",-0.848286364982061,"pdWOLS","1","psi0"
"171",-0.126586929230359,"pdWOLS","1","psi0"
"172",-0.205304884830458,"pdWOLS","1","psi0"
"173",-3.98954740287748,"pdWOLS","1","psi0"
"174",-0.0858666785874322,"pdWOLS","1","psi0"
"175",-0.147191761060612,"pdWOLS","1","psi0"
"176",-0.202796353581282,"pdWOLS","1","psi0"
"177",-0.19502938579003,"pdWOLS","1","psi0"
"178",-4.11815206775497,"pdWOLS","1","psi0"
"179",-0.761025339125242,"pdWOLS","1","psi0"
"180",-0.206041782438248,"pdWOLS","1","psi0"
"181",-3.85429233885798,"pdWOLS","1","psi0"
"182",-0.0472651706871962,"pdWOLS","1","psi0"
"183",-3.2852759614232,"pdWOLS","1","psi0"
"184",-0.0178405502921062,"pdWOLS","1","psi0"
"185",-0.650901202378246,"pdWOLS","1","psi0"
"186",-0.0277927459256786,"pdWOLS","1","psi0"
"187",-3.87003568336323,"pdWOLS","1","psi0"
"188",-0.14188742330391,"pdWOLS","1","psi0"
"189",-4.40357749195273,"pdWOLS","1","psi0"
"190",-3.20261992488046,"pdWOLS","1","psi0"
"191",-0.248975651250316,"pdWOLS","1","psi0"
"192",-3.39165194296283,"pdWOLS","1","psi0"
"193",-0.324491122762754,"pdWOLS","1","psi0"
"194",-0.171228278858755,"pdWOLS","1","psi0"
"195",-1.01384364898811,"pdWOLS","1","psi0"
"196",-4.35117579996688,"pdWOLS","1","psi0"
"197",-0.267808293084546,"pdWOLS","1","psi0"
"198",-3.50810725768516,"pdWOLS","1","psi0"
"199",-0.161270267494971,"pdWOLS","1","psi0"
"200",-3.76160674860796,"pdWOLS","1","psi0"
"201",-3.14992034792402,"pdWOLS","1","psi0"
"202",-0.143897178919734,"pdWOLS","1","psi0"
"203",-0.042908025217766,"pdWOLS","1","psi0"
"204",-0.157117433818441,"pdWOLS","1","psi0"
