"","estimates","methods","scene","par"
"180",1.10296783643108,"Q-Learning with lasso","Scenario 1","psi0"
"181",0.399106306351635,"Q-Learning with lasso","Scenario 1","psi0"
"182",0.806538402701655,"Q-Learning with lasso","Scenario 1","psi0"
"183",0.909616765517401,"Q-Learning with lasso","Scenario 1","psi0"
"184",1.11814890125354,"Q-Learning with lasso","Scenario 1","psi0"
"185",1.33075970043922,"Q-Learning with lasso","Scenario 1","psi0"
"186",0.814715903554644,"Q-Learning with lasso","Scenario 1","psi0"
"187",0.756168389171472,"Q-Learning with lasso","Scenario 1","psi0"
"188",0.535067184633695,"Q-Learning with lasso","Scenario 1","psi0"
"189",0.989207566465895,"Q-Learning with lasso","Scenario 1","psi0"
"190",0.898246845463224,"Q-Learning with lasso","Scenario 1","psi0"
"191",0.202891246866923,"Q-Learning with lasso","Scenario 1","psi0"
"192",0.996466912733212,"Q-Learning with lasso","Scenario 1","psi0"
"193",1.25448037926255,"Q-Learning with lasso","Scenario 1","psi0"
"194",1.62144180054575,"Q-Learning with lasso","Scenario 1","psi0"
"195",1.13142960234675,"Q-Learning with lasso","Scenario 1","psi0"
"196",1.26951696069912,"Q-Learning with lasso","Scenario 1","psi0"
"197",0.309863939545492,"Q-Learning with lasso","Scenario 1","psi0"
"198",0.844166488675342,"Q-Learning with lasso","Scenario 1","psi0"
"199",0.897312733169735,"Q-Learning with lasso","Scenario 1","psi0"
"200",0.853773199266061,"Q-Learning with lasso","Scenario 1","psi0"
"201",1.13332030610575,"Q-Learning with lasso","Scenario 1","psi0"
"202",0.812884690413381,"Q-Learning with lasso","Scenario 1","psi0"
"203",1.07377590782514,"Q-Learning with lasso","Scenario 1","psi0"
"204",0.99949773201779,"Q-Learning with lasso","Scenario 1","psi0"
"205",1.43497322644968,"Q-Learning with lasso","Scenario 1","psi0"
"206",1.40326209249622,"Q-Learning with lasso","Scenario 1","psi0"
"207",0.959949570897315,"Q-Learning with lasso","Scenario 1","psi0"
"208",0.828790385194373,"Q-Learning with lasso","Scenario 1","psi0"
"209",0.99507571716394,"Q-Learning with lasso","Scenario 1","psi0"
"210",1.12864191097904,"Q-Learning with lasso","Scenario 1","psi0"
"211",0.574204939911472,"Q-Learning with lasso","Scenario 1","psi0"
"212",0.690007129559581,"Q-Learning with lasso","Scenario 1","psi0"
"213",1.60126124950372,"Q-Learning with lasso","Scenario 1","psi0"
"214",0.963049090566209,"Q-Learning with lasso","Scenario 1","psi0"
"215",0.848800827934375,"Q-Learning with lasso","Scenario 1","psi0"
"216",1.21000892116932,"Q-Learning with lasso","Scenario 1","psi0"
"217",0.760322578166072,"Q-Learning with lasso","Scenario 1","psi0"
"218",0.172250126995858,"Q-Learning with lasso","Scenario 1","psi0"
"219",0.800538641330151,"Q-Learning with lasso","Scenario 1","psi0"
"220",1.10086547243289,"Q-Learning with lasso","Scenario 1","psi0"
"221",1.16427983037465,"Q-Learning with lasso","Scenario 1","psi0"
"222",1.35668847328239,"Q-Learning with lasso","Scenario 1","psi0"
"223",0.383285920795978,"Q-Learning with lasso","Scenario 1","psi0"
"224",1.35598499286962,"Q-Learning with lasso","Scenario 1","psi0"
"225",0.860640257233302,"Q-Learning with lasso","Scenario 1","psi0"
"226",1.10067173822449,"Q-Learning with lasso","Scenario 1","psi0"
"227",1.06937852807491,"Q-Learning with lasso","Scenario 1","psi0"
"228",1.51924616749462,"Q-Learning with lasso","Scenario 1","psi0"
"229",0.79347126385301,"Q-Learning with lasso","Scenario 1","psi0"
"230",1.15824810730931,"Q-Learning with lasso","Scenario 1","psi0"
"231",1.63067361046793,"Q-Learning with lasso","Scenario 1","psi0"
"232",0.841765976962165,"Q-Learning with lasso","Scenario 1","psi0"
"233",1.01784571663617,"Q-Learning with lasso","Scenario 1","psi0"
"234",0,"Q-Learning with lasso","Scenario 1","psi0"
"235",0.797360989169868,"Q-Learning with lasso","Scenario 1","psi0"
"236",1.40242980114751,"Q-Learning with lasso","Scenario 1","psi0"
"237",1.04739553078408,"Q-Learning with lasso","Scenario 1","psi0"
"238",0.515896899726188,"Q-Learning with lasso","Scenario 1","psi0"
"239",0.655755652349899,"Q-Learning with lasso","Scenario 1","psi0"
"240",1.02457160825203,"Q-Learning with lasso","Scenario 1","psi0"
"241",0.816751518803883,"Q-Learning with lasso","Scenario 1","psi0"
"242",1.02029889620411,"Q-Learning with lasso","Scenario 1","psi0"
"243",-0.0778838029448111,"Q-Learning with lasso","Scenario 1","psi0"
"244",0.40155270492527,"Q-Learning with lasso","Scenario 1","psi0"
"245",0.47158099472804,"Q-Learning with lasso","Scenario 1","psi0"
"246",0.713190229170526,"Q-Learning with lasso","Scenario 1","psi0"
"247",0.891113452613261,"Q-Learning with lasso","Scenario 1","psi0"
"248",0.331785055542586,"Q-Learning with lasso","Scenario 1","psi0"
"249",0.337860876600424,"Q-Learning with lasso","Scenario 1","psi0"
"250",1.18441242826952,"Q-Learning with lasso","Scenario 1","psi0"
"251",0.623371628705059,"Q-Learning with lasso","Scenario 1","psi0"
"252",1.18057180478135,"Q-Learning with lasso","Scenario 1","psi0"
"253",1.16448336942162,"Q-Learning with lasso","Scenario 1","psi0"
"254",1.00997516528412,"Q-Learning with lasso","Scenario 1","psi0"
"255",0.540797690374657,"Q-Learning with lasso","Scenario 1","psi0"
"256",0.855635858704947,"Q-Learning with lasso","Scenario 1","psi0"
"257",0.723096696262482,"Q-Learning with lasso","Scenario 1","psi0"
